"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
cimico42_15b3f7,imico_administrativo_pre,,radio,"¿Usted cree que El PROGRAMA ayudará a los pacientes a sentirse mejor?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico3_cea981,,
cimico43_9bc2f1,imico_administrativo_pre,,radio,"¿Usted cree que El PROGRAMA probablemente será efectivo para los pacientes en otras partes del país?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico3_cea981,,
cimico55_59afb5,imico_administrativo_pre,"ENCAJA CON LA ORGANIZACIÓN",radio,"¿El PROGRAMA encajaría con las metas de su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico4_48c07e,,
cimico56_c09d4f,imico_administrativo_pre,,radio,"¿Usted cree que EL PROGRAMA encajaría con el funcionamiento de su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico4_48c07e,,
cimico57_c9a7db,imico_administrativo_pre,,radio,"¿Usted cree que su organización podrá prestar EL PROGRAMA sin afectar negativamente a otros servicios?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico4_48c07e,,
cimico58_e8326c,imico_administrativo_pre,,radio,"¿Usted cree que prestar el PROGRAMA será una prioridad para los líderes de su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico4_48c07e,,
imicopre_20,imico_administrativo_pre,"4. Prueba de conocimiento (Específica al Programa - esta es para la intervención)",checkbox,"¿El Programa será útil para qué tipo de problemas?","1, Problemas físicos | 2, Problemas sociales conductuales y emocionales | 3, Prefiero no responder",,,,,,,y,,,matrixcimico5_48c07e,," @NONEOFTHEABOVE=3"
imicoint_21,imico_administrativo_pre,,radio,"¿Ha habido un estudio que demuestre que el Programa es efectivo para los problemas de salud mental para los adultos de Colombia?","1, Si | 2, No | 3, Prefiero no responder",,,,,,,y,,,matrixcimico6_48c07e,," @NONEOFTHEABOVE=3"
imicoint_22,imico_administrativo_pre,,radio,"El Programa es cuál de los siguientes ...","1, Solo medicación | 2, Uso de una app. | 3, Manejo por parte de un equipo | 4, Prefiero no responder",,,,,,,y,,,matrixcimico7_48c07e,," @NONEOFTHEABOVE=4"
imicoint_24,imico_administrativo_pre,,radio,"¿El Programa se enfocará en los pensamientos, sentimientos y comportamientos de las personas que asisten a la consulta?","1, Sí | 2, No | 3, Prefiero no responder",,,,,,,y,,,matrixcimico8_48c07e,," @NONEOFTHEABOVE=3"
imicoviab_1,imico_administrativo_pre,"5. Viabilidad 
TIEMPO",radio,"¿Usted cree que en su organización el tiempo total del médico/personal de salud disponible para implementar el PROGRAMA será suficiente?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico9_48c07e,,
imicoviab_2,imico_administrativo_pre,,radio,"¿Usted cree que en su organización el tiempo total de supervisión disponible para implementar el PROGRAMA será suficiente?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico9_48c07e,,
imicoviab_3,imico_administrativo_pre,,radio,"¿Usted cree que en su organización el tiempo total de apoyo administrativo para implementar el PROGRAMA será suficiente?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico9_48c07e,,
imicorec_1,imico_administrativo_pre,RECURSOS,radio,"¿Tiene la organización un presupuesto suficiente para implementar EL PROGRAMA (más adelante)?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico10_48c07e,,
imicorec_2,imico_administrativo_pre,,radio,"¿Usted cree que la organización proveerá el equipo necesario (por ejemplo, lápices / bolígrafos / computadora / internet) para implementar EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico10_48c07e,,
imicorec_3,imico_administrativo_pre,,radio,"¿Usted cree que la organización proporcionará los recursos de comunicación necesarios (por ejemplo, teléfono, tiempo de conversación) para implementar EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico10_48c07e,,
imicorec_4,imico_administrativo_pre,,radio,"¿La organización tiene suficiente espacio privado para implementar EL PROGRAMA (más adelante)?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico10_48c07e,,
imicorec_5,imico_administrativo_pre,,radio,"¿Recibe el personal de esta organización su salario a tiempo?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico10_48c07e,,
imicosup_1,imico_administrativo_pre,PERSONAL/SUPERVISIÓN,radio,"¿Usted cree que la organización tendrá suficientes médicos para implementar EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico11_48c07e,,
imicosup_2,imico_administrativo_pre,,radio,"¿Usted cree que la organización tendrá suficientes profesionales capacitados en el PROGRAMA para atender a quienes buscan servicios?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico11_48c07e,,
imicosup_3,imico_administrativo_pre,,radio,"¿Usted cree que la organización tendrá suficientes supervisores para implementar EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico11_48c07e,,
imicosup_4,imico_administrativo_pre,,radio,"¿Usted cree que la organización tendrá suficiente acceso a los instructores del PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico11_48c07e,,
imicoacc_1,imico_administrativo_pre,"6. MAGNITUD/ACCESO",radio,"¿Usted cree que las personas de la comunidad estarán al tanto que los servicios del PROGRAMA están disponibles?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico12_48c07e,,
imicoacc_2,imico_administrativo_pre,,radio,"¿Usted cree que los pacientes que buscan ayuda podrán comenzar EL PROGRAMA con poco tiempo de espera?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico12_48c07e,,
imicoacc_3,imico_administrativo_pre,,radio,"¿Usted cree que la mayoría de la gente en la comunidad (personas que asisten al sitio de atención) buscaría los servicios del PROGRAMA si los necesitaran?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico12_48c07e,,
imicoacc_4,imico_administrativo_pre,,radio,"¿Usted cree que las personas con bajos recursos económicos de la comunidad buscarían los servicios del PROGRAMA si los necesitaran? (Si responde ""De ningún modo"" o ""Un poco"" ver la casilla que se abre abajo para anotar las razones)","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico12_48c07e,,
imicoacc_5,imico_administrativo_pre,,radio,"¿Usted cree que las mujeres buscarían los servicios del PROGRAMA si los necesitaran? (Si responde ""De ningún modo"" o ""Un poco"" ver la casilla que se abre abajo para anotar las razones)","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico12_48c07e,,
imicoac_6,imico_administrativo_pre,,radio,"¿Usted cree que los hombres buscarían los servicios del PROGRAMA si los necesitaran? (Si responde ""De ningún modo"" o ""Un poco"" ver la casilla que se abre abajo para anotar las razones)","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico12_48c07e,,
imicoac_7,imico_administrativo_pre,,radio,"¿Usted cree que los padres u otros cuidadores buscarían los servicios del PROGRAMA para sus hijos si los necesitaran? (Si responde ""De ningún modo"" o ""Un poco"" ver la casilla que se abre abajo para anotar las razones)","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico12_48c07e,,
imicoacc_6,imico_administrativo_pre,,notes,"¿Cuáles son las razones por las que no buscarían servicios?",,,,,,,"[imicoacc_4] = '1' or [imicoacc_4] = '2'",y,,,,,
imicoacc_8,imico_administrativo_pre,,notes,"¿Cuáles son las razones por las que no buscarían servicios?",,,,,,,"[imicoacc_5] = '1' or [imicoacc_5] = '2'",y,,,,,
imicoacc_10,imico_administrativo_pre,,notes,"¿Cuáles son las razones por las que no buscarían servicios?",,,,,,,"[imicoac_6] = '1' or [imicoac_6] = '2'",y,,,,,
imicoacc_17,imico_administrativo_pre,,notes,"¿Cuáles son las razones por las que no buscarían servicios?",,,,,,,"[imicoac_7] = '1' or [imicoac_7] = '2'",y,,,,,
imicoacc_18,imico_administrativo_pre,,notes,"¿Quién no buscaría los servicios del PROGRAMA dentro de su comunidad?",,,,,,,,y,,,,,
imicoao_1,imico_administrativo_pre,"7. Ambiente Organizacional 
SENTIMIENTOS PERSONALES DURANTE EL TRABAJO",radio,"¿Su moral en el trabajo es alta?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico16_48c07e,,
imicoao_2,imico_administrativo_pre,,radio,"¿Su carga de trabajo es manejable (lo que significa que usted no se siente estresado o con demasiado trabajo)?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico16_48c07e,,
imicoao_3,imico_administrativo_pre,,radio,"¿Siente que está bien informado sobre las cosas que debe saber dentro de su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico16_48c07e,,
imicoao_4,imico_administrativo_pre,,radio,"¿Su organización le mantiene bien informado sobre lo que necesita saber para hacer su trabajo?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico16_48c07e,,
imicoao_5,imico_administrativo_pre,,radio,"Cuándo tiene un problema en el trabajo, ¿sabe a quién acudir para obtener la respuesta?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico16_48c07e,,
imicoao_6,imico_administrativo_pre,,radio,"¿La organización para la que trabaja promueve su crecimiento profesional?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico16_48c07e,,
imicoao_7,imico_administrativo_pre,,radio,"¿La organización para la que trabaja es adaptable a sus necesidades?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico16_48c07e,,
imicoao_8,imico_administrativo_pre,,radio,"¿Está satisfecho con la compensación monetaria que recibe por su trabajo?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico16_48c07e,,
imicoao_9,imico_administrativo_pre,,radio,"¿Qué tanto le importa la dirección y el éxito de la organización en la que trabaja?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico16_48c07e,,
imicoao_10,imico_administrativo_pre,,radio,"¿Se ofrecen suficientes oportunidades de aprendizaje para usted a través de su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico16_48c07e,,
imicoat_1,imico_administrativo_pre,"PERCEPCIÓN DEL AMBIENTE DE TRABAJO",radio,"¿La comunicación entre las personas de su organización es positiva y útil?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico17_48c07e,,
imicoat_2,imico_administrativo_pre,,radio,"¿El ambiente de trabajo es en general positivo?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico17_48c07e,,
imicoat_3,imico_administrativo_pre,,radio,"¿Usted cree que hay un alto nivel de cohesión dentro de su organización (por ejemplo, el personal se lleva bien trabajando juntos como un equipo)?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico17_48c07e,,
imicoat_4,imico_administrativo_pre,,radio,"¿El personal de su organización se siente motivado?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico17_48c07e,,
imicolp_1,imico_administrativo_pre,"8. Liderazgo en Implementación
Liderazgo Proactivo",radio,"¿Los líderes de su organización tendrán estándares de calidad claros para la implementación del PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico18_48c07e,,
imicolp_2,imico_administrativo_pre,,radio,"¿Los líderes de su organización tendrán un plan para facilitar la implementación del PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico18_48c07e,,
imicolp_3,imico_administrativo_pre,,radio,"¿Los líderes eliminarán en su organización los obstáculos para la implementación del PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico18_48c07e,,
imicolc_1,imico_administrativo_pre,"Liderazgo con conocimiento
",radio,"¿Los líderes de su organización entenderán de qué están hablando cuando se trata del PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico19_48c07e,,
imicolc_2,imico_administrativo_pre,,radio,"¿Los líderes de su organización estarán informados sobre EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico19_48c07e,,
imicolc_3,imico_administrativo_pre,,radio,"¿Los líderes de su organización serán capaces de responder a las preguntas del personal (salud y administrativo) sobre EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico19_48c07e,,
imicola_1,imico_administrativo_pre,"Liderazgo de Apoyo",radio,"¿Los líderes de su organización apoyarán los esfuerzos de los proveedores (personal de salud) para usar EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico20_48c07e,,
imicola_2,imico_administrativo_pre,,radio,"¿Los líderes de su organización apoyarán los esfuerzos de los proveedores (personal de salud) para aprender más sobre EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico20_48c07e,,
imicola_3,imico_administrativo_pre,,radio,"¿Los líderes de su organización reconocerán y apreciarán los esfuerzos de los proveedores (personal de salud)?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico20_48c07e,,
imicolper_1,imico_administrativo_pre,"Liderazgo Perseverante",radio,"¿Los líderes de su organización perseverarán a través de los altibajos de la implementación del PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico21_48c07e,,
imicolper_2,imico_administrativo_pre,,radio,"¿Los líderes de su organización continuarán trabajando a pesar de los desafíos de implementar EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico21_48c07e,,
imicolper_3,imico_administrativo_pre,,radio,"¿Los líderes de su organización abordarán de manera efectiva las cuestiones cruciales relacionadas con la implementación del PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico21_48c07e,,
imicohg_1,imico_administrativo_pre,"9. Habilidades Generales de Liderazgo",radio,"¿Usted cree que los líderes de su organización son buenos líderes?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico22_48c07e,,
imicohg_2,imico_administrativo_pre,,radio,"¿Usted cree que es fácil hablar con los líderes de su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico22_48c07e,,
imicohg_3,imico_administrativo_pre,,radio,"¿Usted cree que los líderes de su organización son confiables?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico22_48c07e,,
imicohg_4,imico_administrativo_pre,,radio,"¿Usted cree que los líderes de su organización se comportan de manera que obtienen respeto de los miembros del personal (de salud y administrativo)?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico22_48c07e,,
imicohg_5,imico_administrativo_pre,,radio,"¿Los líderes de su organización tomarían las decisiones apropiadas para ayudar a asegurar el éxito del PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico22_48c07e,,
imicohg_6,imico_administrativo_pre,,radio,"¿Los líderes de su organización están abiertos a escuchar ideas que difieren de las suyas?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico22_48c07e,,
imicohg_7,imico_administrativo_pre,,radio,"¿Los líderes de su organización ayudan a los miembros del personal a ver cómo las metas del programa se alinean con sus metas personales?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico22_48c07e,,
imicohg_8,imico_administrativo_pre,,radio,"¿Los líderes de su organización hablarían acerca de las metas para el futuro del programa?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico22_48c07e,,
imicohg_9,imico_administrativo_pre,,radio,"¿Los líderes de su organización tendrán estrategias para ayudar a alcanzar los objetivos del programa?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico22_48c07e,,
imicosos_1,imico_administrativo_pre,"10. Sostenibilidad",radio,"¿Usted cree que el PROGRAMA continuará después de que el apoyo externo termine?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico24_48c07e,,
imicosos_3,imico_administrativo_pre,,notes,"¿Qué significaría para la institución la capacidad de sostenibilidad del PROGRAMA?
",,,,,,,,y,,,,,
imicosos_2,imico_administrativo_pre,,notes,"¿Cuáles consideraría que son las barreras para la sostenibilidad del PROGRAMA en la institución?",,,,,,,,y,,,,,
psimico90,imico_administrativo_pre,,radio,"¿Existiría un sistema para monitorizar los resultados del programa?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico91,imico_administrativo_pre,,radio,"¿La gente dentro de la organización monitoriza los resultados del paciente (p. ej., síntomas)?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico92,imico_administrativo_pre,,radio,"¿Las personas dentro de la organización seguirían o monitorizarían el número de pacientes atendidos por el programa?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico93,imico_administrativo_pre,,radio,"¿La gente dentro de la organización monitorizan las actividades clínicas (p. ej., qué se hace en cita con los pacientes, supervisión)?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico94,imico_administrativo_pre,,radio,"¿La gente dentro de la organización monitorizan la calidad de los servicios que los pacientes reciben?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico95,imico_administrativo_pre,,radio,"¿Utilizaría la organización los resultados del programa para guiar la planificación e implementación del programa en el futuro?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico96,imico_administrativo_pre,,radio,"¿Se compartiría los resultados de la evaluación del programa con los donantes (fuentes de financiación para investigación) y otros actores claves?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico97,imico_administrativo_pre,,radio,"¿La organización compartiría información sobre los efectos del programa con la comunidad en general?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico98,imico_administrativo_pre,,radio,"¿Los hallazgos o problemas negativos del programa serían investigados y tratados de manera efectiva?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico99,imico_administrativo_pre,,radio,"¿La organización monitoriza las necesidades de la comunidad?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico100,imico_administrativo_pre,,radio,"¿La organización tendría un proceso para monitorizar cuáles cambios de programa se necesita hacer?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico101,imico_administrativo_pre,,radio,"¿La organización tendría un proceso para adaptar el programa a los cambios en las necesidades de la comunidad?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico102,imico_administrativo_pre,,radio,"¿La organización tendría un proceso para adaptar el programa a los cambios en las necesidades del personal de salud?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico103,imico_administrativo_pre,,radio,"¿La organización tendría un proceso para adaptar el programa a los cambios en las necesidades de la organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico104,imico_administrativo_pre,,radio,"¿La organización tendría un proceso para adaptar el programa a los cambios en las políticas gubernamentales?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico105,imico_administrativo_pre,,radio,"¿La organización tendría un proceso para eliminar partes del programa que son ineficaces y no deberían continuar?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico106,imico_administrativo_pre,,radio,"¿La organización tendría un proceso para adaptar la capacitación para el programa según sea necesario?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico107,imico_administrativo_pre,,radio,"¿La organización tendría un proceso para adaptar la supervisión para el programa según sea necesario?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico108,imico_administrativo_pre,,radio,"¿Los líderes de la organización comunicaría las ventajas del programa a otros dentro de la organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico109,imico_administrativo_pre,,radio,"¿Los líderes de la organización incentivarían un conocimiento organizacional más amplio del programa?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico110,imico_administrativo_pre,,radio,"¿Los líderes de la organización articularían eficazmente la visión del programa al personal (de salud y administrativo)?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico111,imico_administrativo_pre,,radio,"¿El nivel de rotación del personal es manejable?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico112,imico_administrativo_pre,,radio,"¿La organización tiene estrategias para ayudar a retener al personal (de salud y administrativo)?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
